time,layer_name,a,h,stress_theta,stress_z,rho,pressure,flow_rate,wss
317.0,artery,0.0010451049592982238,0.00019656135738422846,118770.92849914015,22664.618753892886,1705.2719682336192,22338.15787172249,1e-06,4.461597459648177
318.0,artery,0.0010449707654767632,0.0001965051752059669,118789.64716791607,22679.9815117052,1704.5394022454916,22338.15787172249,1e-06,4.463316538466592
319.0,artery,0.001044836454152499,0.00019644869149382227,118808.54627872555,22695.42452376967,1703.8040233881736,22338.15787172249,1e-06,4.46503800698009
320.0,artery,0.0010447020327105164,0.00019639191183391352,118827.62355871197,22710.946514612377,1703.065896287574,22338.15787172249,1e-06,4.466761773352814
321.0,artery,0.0010445675084572769,0.00019633484177919027,118846.8767433508,22726.546215124763,1702.3250850965396,22338.15787172249,1e-06,4.468487746568145
322.0,artery,0.0010444328886209627,0.00019627748684917522,118866.30357658076,22742.222362602406,1701.5816534931241,22338.15787172249,1e-06,4.470215836426185
323.0,artery,0.0010442981803518185,0.00019621985252971636,118885.901810924,22757.97370078283,1700.8356646789723,22338.15787172249,1e-06,4.471945953541309
324.0,artery,0.0010441633907225052,0.00019616194427274824,118905.66920760761,22773.798979882056,1700.0871813777785,22338.15787172249,1e-06,4.473678009339566
325.0,artery,0.0010440285267284534,0.00019610376749605983,118925.60353668025,22789.696956630985,1699.3362658338465,22338.15787172249,1e-06,4.475411916056124
326.0,artery,0.0010438935952882208,0.00019604532758307042,118945.70257712464,22805.666394310818,1698.5829798107527,22338.15787172249,1e-06,4.477147586732661
327.0,artery,0.0010437586032438623,0.0001959866298826145,118965.96411697312,22821.706062787438,1697.8273845900949,22338.15787172249,1e-06,4.478884935214629
328.0,artery,0.001043623557361291,0.00019592767970873446,118986.38595341073,22837.81473854513,1697.0695409703412,22338.15787172249,1e-06,4.480623876148635
329.0,artery,0.0010434884643306527,0.00019586848234048144,119006.96589287979,22853.99120471944,1696.3095092657447,22338.15787172249,1e-06,4.482364324979681
330.0,artery,0.0010433533307667088,0.00019580904302172032,119027.70175119305,22870.234251129787,1695.54734930538,22338.15787172249,1e-06,4.484106197948287
331.0,artery,0.001043218163209209,0.00019574936696094804,119048.59135362272,22886.542674310396,1694.7831204322433,22338.15787172249,1e-06,4.485849412087783
332.0,artery,0.0010430829681232748,0.00019568945933111563,119069.63253499701,22902.91527754115,1694.016881502443,22338.15787172249,1e-06,4.4875938852214565
333.0,artery,0.0010429477518997896,0.00019562932526945813,119090.82313979887,22919.350870877515,1693.24869088449,22338.15787172249,1e-06,4.489339535959633
334.0,artery,0.001042812520855793,0.00019556896987733304,119112.16102226,22935.848271179486,1692.4786064586272,22338.15787172249,1e-06,4.4910862836967205
335.0,artery,0.001042677281234868,0.0001955083982200627,119133.64404644215,22952.406302140553,1691.706685616315,22338.15787172249,1e-06,4.492834048608327
336.0,artery,0.0010425420392075372,0.00019544761532679146,119155.27008632205,22969.023794314315,1690.9329852597075,22338.15787172249,1e-06,4.494582751648314
337.0,artery,0.001042406800871673,0.00019538662619033792,119177.0370258868,22985.699585142673,1690.1575618012903,22338.15787172249,1e-06,4.496332314545636
338.0,artery,0.0010422715722528855,0.00019532543576706763,119198.9427591966,23002.432518980815,1689.3804711635264,22338.15787172249,1e-06,4.4980826598015025
339.0,artery,0.0010421363593049468,0.00019526404897675907,119220.98519048505,23019.221447123833,1688.6017687786318,22338.15787172249,1e-06,4.499833710686054
340.0,artery,0.0010420011679101754,0.00019520247070248966,119243.16223420567,23036.065227830506,1687.8215095883897,22338.15787172249,1e-06,4.501585391235585
341.0,artery,0.001041866003879872,0.00019514070579051634,119265.47181513572,23052.962726348138,1687.0397480440588,22338.15787172249,1e-06,4.503337626249079
342.0,artery,0.0010417308729547096,0.00019507875905017244,119287.91186842018,23069.912814935342,1686.2565381063396,22338.15787172249,1e-06,4.505090341285357
343.0,artery,0.0010415957808051672,0.00019501663525376363,119310.48033965832,23086.91437288515,1685.4719332454229,22338.15787172249,1e-06,4.506843462659666
344.0,artery,0.0010414607330319326,0.00019495433913647588,119333.17518495537,23103.966286546638,1684.6859864410987,22338.15787172249,1e-06,4.50859691744065
345.0,artery,0.00104132573516634,0.00019489187539628412,119355.99437100711,23121.06744934661,1683.898750182942,22338.15787172249,1e-06,4.510350633446893
346.0,artery,0.0010411907926707598,0.00019482924869387557,119378.93587512043,23138.21676180956,1683.110276470557,22338.15787172249,1e-06,4.5121045392440715
347.0,artery,0.0010410559109390615,0.00019476646365256732,119401.9976853233,23155.4131315783,1682.32061681388,22338.15787172249,1e-06,4.513858564141164
348.0,artery,0.0010409210952970053,0.00019470352485824048,119425.1778003775,23172.65547343296,1681.529822233573,22338.15787172249,1e-06,4.515612638187582
349.0,artery,0.0010407863510026925,0.000194640436859274,119448.47422986527,23189.942709309536,1680.7379432614596,22338.15787172249,1e-06,4.517366692169531
350.0,artery,0.001040651683246969,0.00019457720416648995,119471.88499420871,23207.273768317576,1679.9450299410194,22338.15787172249,1e-06,4.519120657606997
351.0,artery,0.0010405170971538803,0.00019451383125309614,119495.40812475295,23224.647586758016,1679.151131827959,22338.15787172249,1e-06,4.520874466750039
352.0,artery,0.0010403825977810895,0.00019445032255464227,119519.04166379721,23242.06310813939,1678.3562979908288,22338.15787172249,1e-06,4.5226280525755715
353.0,artery,0.0010402481901203033,0.0001943866824689788,119542.78366463368,23259.519283193906,1677.5605770117127,22338.15787172249,1e-06,4.524381348784039
354.0,artery,0.001040113879097719,0.00019432291535622037,119566.63219160803,23277.015069892655,1676.764016986951,22338.15787172249,1e-06,4.52613428979581
355.0,artery,0.0010399796695744526,0.00019425902553871425,119590.58532015627,23294.549433460714,1675.9666655279602,22338.15787172249,1e-06,4.5278868107478125
356.0,artery,0.0010398455663469665,0.00019419501730101992,119614.64113683067,23312.121346390304,1675.1685697620533,22338.15787172249,1e-06,4.529638847490175
357.0,artery,0.0010397115741475225,0.00019413089488988286,119638.79773936448,23329.72978845529,1674.3697763333757,22338.15787172249,1e-06,4.531390336582515
358.0,artery,0.0010395776976446051,0.00019406666251422627,119663.05323668674,23347.373746722813,1673.570331403831,22338.15787172249,1e-06,4.533141215290635
359.0,artery,0.0010394439414433717,0.000194002324345136,119687.40574897557,23365.052215566502,1672.7702806541158,22338.15787172249,1e-06,4.534891421582831
360.0,artery,0.0010393103100860665,0.00019393788451586283,119711.85340765855,23382.764196676857,1671.9696692847695,22338.15787172249,1e-06,4.53664089412669
361.0,artery,0.001039176808052496,0.00019387334712181635,119736.39435549059,23400.50869907297,1671.1685420172844,22338.15787172249,1e-06,4.538389572285067
362.0,artery,0.001039043439760441,0.00019380871622057488,119761.02674654993,23418.284739112314,1670.3669430952768,22338.15787172249,1e-06,4.540137396112873
363.0,artery,0.0010389102095661143,0.0001937439958318941,119785.74874628645,23436.091340500374,1669.5649162856757,22338.15787172249,1e-06,4.541884306353283
